Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35108818,"Thalia: A Texas Trilogy (Thalia, Texas)",Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",4,4.32,Liveright,Kindle Edition,731,2017,2017,2021/08/03,2021/06/28,,,read,,,,1,0
20142850,Castleview,Gene Wolfe,"Wolfe, Gene",,"=""""","=""""",4,3.32,Tor Books,Kindle Edition,289,1991,1990,2021/07/11,2021/07/03,,,read,,,,1,0
56519331,Great Circle,Maggie Shipstead,"Shipstead, Maggie",,"=""""","=""""",4,4.11,Knopf,Kindle Edition,627,2021,2021,2021/06/27,2021/06/15,,,read,,,,1,0
57190638,Echo (Breakthrough #6),Michael C. Grumley,"Grumley, Michael C.",,"=""""","=""""",4,4.50,,Kindle Edition,344,2021,2012,2021/06/15,2021/05/26,,,read,,,,1,0
54747051,"Ocean Prey (Lucas Davenport #31, Virgil Flowers #13)",John Sandford,"Sandford, John",,"=""0593087038""","=""9780593087039""",5,4.39,G.P. Putnam's Sons,Kindle Edition,431,2021,2021,2021/06/12,2021/06/06,,,read,,,,1,0
8551553,"Comanche Moon (Lonesome Dove, #4)",Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",5,4.12,Simon & Schuster,Kindle Edition,870,2010,1997,2021/06/06,2021/05/28,,,read,,,,1,0
53024817,Dead Man's Walk,Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",5,4.03,,Kindle Edition,430,2010,1995,2021/05/28,2021/05/23,,,read,,,,1,0
8704449,"Streets Of Laredo (Lonesome Dove, #2)",Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",5,4.06,Simon & Schuster,Kindle Edition,513,2010,1993,2021/05/22,2021/05/14,,,read,,,,1,0
56346987,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",5,4.54,Simon & Schuster,Kindle Edition,964,2010,1985,2021/05/14,2021/04/06,,,read,,,,1,0
44623850,Pride and Prejudice,Jane Austen,"Austen, Jane",,"=""""","=""""",4,4.29,Amazon Digital Services,Kindle Edition,446,2013,1813,2021/03/03,2021/02/10,,,read,,,,1,0
56650956,"Arsène Lupin, gentleman-burglar",Maurice Leblanc,"Leblanc, Maurice",The griffin classics,"=""2378078021""","=""9782378078027""",4,3.81,The griffin classics,Kindle Edition,212,2021,1907,2021/02/05,2021/01/26,,,read,,,,1,0
24209083,The Confessions of Arsène Lupin,Maurice Leblanc,"Leblanc, Maurice",Otto Penzler,"=""""","=""""",0,3.94,MysteriousPress.com/Open Road,Kindle Edition,203,2014,1912,,2021/02/24,currently-reading,currently-reading (#22),currently-reading,,,,1,0
20060308,Free Live Free,Gene Wolfe,"Wolfe, Gene",,"=""""","=""""",0,3.51,Tor Books,Kindle Edition,417,1999,1984,,2021/02/23,,,read,,,,1,0
36506481,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,"Higashida, Naoki",,"=""""","=""""",0,3.87,Random House,Kindle Edition,194,2013,2005,,2021/02/06,currently-reading,currently-reading (#21),currently-reading,,,,1,0
56976641,The Crystal Stopper,Maurice Leblanc,"Leblanc, Maurice",,"=""""","=""""",0,3.94,,Kindle Edition,,2021,1912,,2021/02/06,currently-reading,currently-reading (#20),currently-reading,,,,1,0
54447930,"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,"=""""","=""""",4,3.43,Ballantine Books,Kindle Edition,384,2020,2020,2021/01/26,2021/01/01,,,read,,,,1,0
53406779,The Last Resort,Susi Holliday,"Holliday, Susi",,"=""1542020026""","=""9781542020022""",3,3.29,Thomas & Mercer,Kindle Edition,299,2020,2020,2021/01/01,2020/12/12,,,read,,,,1,0
18519534,The Good Lord Bird,James   McBride,"McBride, James",,"=""1101616180""","=""""",5,3.93,Riverhead Books,Kindle Edition,433,2013,2013,2020/12/12,2020/10/17,,,read,,,,1,0
43746119,"Mosaic (Breakthrough, #5)",Michael C. Grumley,"Grumley, Michael C.",,"=""""","=""""",5,4.58,,Kindle Edition,659,2019,2019,2020/11/24,2020/10/31,,,read,,,,1,0
6050992,Black Swan Green,David Mitchell,"Mitchell, David",,"=""""","=""""",4,3.97,,Kindle Edition,294,,2006,2015/10/26,2015/10/26,,,read,,,,1,0
50882945,Utopia Avenue,David Mitchell,"Mitchell, David",,"=""""","=""""",5,4.00,Random House,Kindle Edition,592,2020,2020,2020/07/25,2020/07/17,,,read,,,,1,0
12385458,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""""","=""""",0,4.18,"Farrar, Straus and Giroux",Kindle Edition,512,2011,2011,,2020/07/12,currently-reading,currently-reading (#19),currently-reading,,,,1,0
48725100,War and Peace,Leo Tolstoy,"Tolstoy, Leo","Louise Maude, Aylmer Maude","=""1542022010""","=""9781542022019""",0,4.16,AmazonClassics,Kindle Edition,544,2019,1869,,2020/07/12,currently-reading,currently-reading (#18),currently-reading,,,,1,0
30364647,The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,"Lewis, Michael",,"=""""","=""""",5,3.99,W. W. Norton & Company,Kindle Edition,369,2016,2016,2020/07/09,2020/07/03,,,read,,,,1,0
40936557,The Fifth Risk: Undoing Democracy,Michael   Lewis,"Lewis, Michael",,"=""""","=""""",0,4.09,W. W. Norton & Company,Kindle Edition,255,2018,2018,,2020/07/01,currently-reading,currently-reading (#17),currently-reading,,,,1,0
24811910,"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,"Browder, Bill",,"=""""","=""""",5,4.44,Simon & Schuster,Kindle Edition,417,2015,2015,2020/06/30,2020/06/27,,,read,,,,1,0
25735618,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",4,4.42,Tor Books,Kindle Edition,605,2016,2010,2020/06/27,2020/06/12,,,read,,,,1,0
24375664,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""""","=""""",4,4.41,Tor Books,Kindle Edition,513,2015,2008,2020/06/12,2020/05/31,,,read,,,,1,0
18245960,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",4,4.09,Tor Books,Kindle Edition,400,2014,2006,2020/05/29,2020/05/26,,,read,,,,1,0
6219357,Born Standing Up: A Comic's Life,Steve Martin,"Martin, Steve",,"=""""","=""""",5,3.88,Scribner,Kindle Edition,224,2007,2007,2020/05/26,2020/05/23,,,read,,,,1,0
34943643,"Agency (Jackpot, #2)",William Gibson,"Gibson, William",,"=""""","=""""",3,3.81,Berkley,Kindle Edition,413,2020,2020,2020/05/23,2020/05/18,,,read,,,,1,0
52951550,Sorry I Missed You,Suzy Krause,"Krause, Suzy",,"=""1542010195""","=""9781542010191""",3,3.64,Lake Union Publishing,Kindle Edition,313,2020,2020,2020/05/18,2020/05/13,,,read,,,,1,0
18949267,Gain,Richard Powers,"Powers, Richard",,"=""""","=""""",4,3.76,"Farrar, Straus and Giroux",Kindle Edition,418,2010,1998,2020/05/10,2020/05/05,,,read,,,,1,0
27856198,"Rampage (The Singular Menace, #3)",John Sandford,"Sandford, John",Michele Cook,"=""""","=""""",4,4.22,Knopf Books for Young Readers,Kindle Edition,329,2016,2016,2020/05/05,2020/05/04,,,read,,,,1,0
24367637,"Outrage (The Singular Menace, 2) (The Singular Menace Series)",John Sandford,"Sandford, John",Michele Cook,"=""""","=""""",4,4.01,Knopf Books for Young Readers,Kindle Edition,331,2015,2015,2020/05/04,2020/04/28,,,read,,,,1,0
2443,"The Innocents Abroad, Or, the New Pilgrims' Progress",Mark Twain,"Twain, Mark",Jane Jacobs,"=""0812967054""","=""9780812967050""",4,3.84,Random House Publishing Group,Paperback,560,2003,1869,,2013/02/06,,,read,,,,1,0
21796775,Uncaged (The Singular Menace #1),John Sandford,"Sandford, John",Michele Cook,"=""""","=""""",0,3.88,Knopf Books for Young Readers,Kindle Edition,418,2014,2014,,2020/04/26,currently-reading,currently-reading (#16),currently-reading,,,,1,0
52752171,"Masked Prey (Lucas Davenport, #30)",John Sandford,"Sandford, John",,"=""""","=""""",4,4.16,G.P. Putnam's Sons,Kindle Edition,416,2020,2020,2020/04/26,2020/04/21,,,read,,,,1,0
43558961,"The City We Became (Great Cities, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4,3.87,Orbit,Kindle Edition,481,2020,2020,2020/04/22,2020/04/11,,,read,,,,1,0
18894577,"Roughing It, Part 1.",Mark Twain,"Twain, Mark",,"=""""","=""""",0,4.05,,Kindle Edition,55,2012,1913,,2020/04/21,currently-reading,currently-reading (#15),currently-reading,,,,1,0
8578398,Generosity: An Enhancement,Richard Powers,"Powers, Richard",,"=""""","=""""",4,3.59,,Kindle Edition,301,,2009,2020/04/11,2020/03/27,,,read,,,,1,0
49241808,The Pursuit of the Pankera: A Parallel Novel About Parallel Universes,Robert A. Heinlein,"Heinlein, Robert A.",David Weber,"=""164710002X""","=""9781647100025""",0,4.01,CAEZIK SF & Fantasy,Kindle Edition,503,2020,2020,,2020/03/24,to-read,to-read (#11),to-read,,,,0,0
19003139,Galatea 2.2,Richard Powers,"Powers, Richard",,"=""""","=""""",0,3.73,Picador,Kindle Edition,354,2004,1995,,2020/03/02,currently-reading,currently-reading (#13),currently-reading,,,,1,0
16033024,Oliver Twist,Charles Dickens,"Dickens, Charles",George Cruikshank,"=""1611092507""","=""9781611092509""",0,3.88,Amazon Publishing,Kindle Edition,268,2012,1838,,2020/03/05,currently-reading,currently-reading (#14),currently-reading,,,,1,0
37654106,How To Destroy A Tech Startup In Three Easy Steps,Lawrence Krubner,"Krubner, Lawrence",Natalie Sidner,"=""0998997609""","=""9780998997605""",0,3.83,,Kindle Edition,225,2017,,,2020/03/02,currently-reading,currently-reading (#12),currently-reading,,,,1,0
